,cuntan,wulong,maoping,ThreeGRes,yichang,shashi,chenglingji,chenglingji7,DJKRes,DragonKT,hankou,jiujiang,hukou,datong
9558,10300.0,3120.0,0.0,0.0,19300.0,15700.0,0.0,27300.0,1420.0,0.0,42500.0,41600.0,11400.0,51100.0
9559,5260.0,793.0,0.0,0.0,6680.0,6770.0,0.0,3920.0,206.0,0.0,11600.0,11800.0,1220.0,12500.0
9560,11200.0,2790.0,0.0,0.0,22300.0,21000.0,0.0,15300.0,1660.0,0.0,36500.0,37400.0,5850.0,42100.0
9561,15200.0,2790.0,0.0,0.0,18400.0,14600.0,0.0,22300.0,243.0,0.0,40700.0,41300.0,13800.0,53000.0
9562,9610.0,470.0,0.0,0.0,13600.0,11900.0,0.0,6690.0,2070.0,0.0,18200.0,20000.0,5950.0,27500.0
9563,6850.0,357.0,0.0,0.0,9030.0,8200.0,0.0,1380.0,665.0,0.0,10400.0,10400.0,873.0,11800.0
9564,15700.0,2980.0,0.0,0.0,20800.0,17800.0,0.0,10500.0,1980.0,0.0,29500.0,28300.0,7040.0,35200.0
9565,5920.0,365.0,0.0,0.0,6660.0,6750.0,0.0,5400.0,310.0,0.0,13500.0,14700.0,7490.0,21500.0
9566,7080.0,2890.0,0.0,0.0,12000.0,11500.0,0.0,6800.0,2230.0,0.0,21800.0,22400.0,3700.0,25300.0
9567,5010.0,408.0,0.0,0.0,6610.0,6830.0,0.0,8220.0,891.0,0.0,15600.0,15600.0,9090.0,22800.0
9568,4950.0,850.0,0.0,0.0,6900.0,6720.0,0.0,4430.0,559.0,0.0,13100.0,12800.0,7430.0,18900.0
9569,6520.0,386.0,0.0,0.0,7040.0,6820.0,0.0,1500.0,614.0,0.0,8710.0,8650.0,1070.0,9400.0
9570,6660.0,1400.0,0.0,8000.0,11900.0,10300.0,0.0,6240.0,1330.0,0.0,17700.0,18600.0,6420.0,25000.0
9571,8580.0,271.0,0.0,0.0,7420.0,7220.0,0.0,1880.0,806.0,0.0,10500.0,11700.0,612.0,13200.0
9572,5700.0,1610.0,0.0,0.0,7550.0,7380.0,0.0,9350.0,1700.0,0.0,18300.0,19000.0,4610.0,22700.0
9573,11000.0,1570.0,0.0,13600.0,14700.0,13000.0,0.0,5560.0,472.0,0.0,20000.0,22500.0,5190.0,29500.0
9574,6750.0,263.0,0.0,0.0,7020.0,6900.0,0.0,1340.0,424.0,0.0,8280.0,8550.0,1360.0,9880.0
9575,8410.0,282.0,0.0,9300.0,7040.0,7160.0,0.0,2190.0,1910.0,0.0,12300.0,12800.0,523.0,13800.0
9576,8410.0,1390.0,0.0,12000.0,11300.0,10400.0,0.0,5390.0,3030.0,0.0,21200.0,21500.0,2620.0,23500.0
9577,11600.0,3390.0,0.0,16000.0,22500.0,19300.0,0.0,15300.0,475.0,0.0,31600.0,30100.0,7000.0,36200.0
9578,6650.0,277.0,0.0,0.0,6870.0,6730.0,0.0,3130.0,226.0,0.0,10900.0,11700.0,5330.0,15200.0
9579,6640.0,258.0,0.0,0.0,7350.0,6830.0,0.0,1290.0,265.0,0.0,8700.0,9010.0,907.0,9710.0
9580,13800.0,1690.0,0.0,0.0,16800.0,13600.0,0.0,23400.0,1340.0,0.0,43300.0,42800.0,11900.0,53900.0
9581,5730.0,181.0,0.0,0.0,6970.0,7040.0,0.0,1310.0,225.0,0.0,8850.0,9290.0,1550.0,9490.0
9582,5480.0,661.0,0.0,6800.0,9820.0,8760.0,0.0,8680.0,1260.0,0.0,19600.0,20500.0,5350.0,25400.0
9583,6380.0,297.0,0.0,0.0,6700.0,6800.0,0.0,1170.0,839.0,0.0,8310.0,8720.0,1090.0,8550.0
9584,6480.0,396.0,0.0,8800.0,10400.0,11000.0,0.0,6160.0,1640.0,0.0,17800.0,18900.0,6570.0,25200.0
9585,3260.0,177.0,0.0,0.0,6490.0,7160.0,0.0,1470.0,641.0,0.0,8590.0,8840.0,1500.0,10600.0
9586,7360.0,495.0,0.0,8000.0,8500.0,8060.0,0.0,1950.0,438.0,0.0,11300.0,11400.0,850.0,10800.0
9587,6590.0,298.0,0.0,0.0,9380.0,8810.0,0.0,1670.0,364.0,0.0,10500.0,10600.0,559.0,12000.0
9588,6820.0,855.0,0.0,0.0,6560.0,6670.0,0.0,3540.0,391.0,0.0,11800.0,11900.0,1210.0,12900.0
9589,8710.0,2450.0,0.0,0.0,19300.0,18600.0,0.0,15900.0,632.0,0.0,35800.0,37100.0,5710.0,41700.0
9590,4810.0,676.0,0.0,0.0,7200.0,7420.0,0.0,9330.0,1470.0,0.0,18200.0,18900.0,4540.0,22600.0
9591,5690.0,597.0,0.0,6800.0,6350.0,6750.0,0.0,4190.0,382.0,0.0,11600.0,11800.0,1230.0,12000.0
9592,6700.0,289.0,0.0,7100.0,6800.0,7070.0,0.0,1250.0,405.0,0.0,8840.0,9110.0,287.0,10200.0
9593,5430.0,178.0,0.0,0.0,7160.0,6960.0,0.0,1950.0,341.0,0.0,9480.0,9160.0,2070.0,11000.0
9594,5510.0,817.0,0.0,0.0,8060.0,7900.0,0.0,5010.0,1300.0,0.0,16400.0,17000.0,2360.0,20500.0
9595,6400.0,285.0,0.0,0.0,6940.0,6840.0,0.0,1330.0,554.0,0.0,8280.0,8550.0,1230.0,9990.0
9596,5520.0,510.0,0.0,0.0,6920.0,6910.0,0.0,7530.0,0.0,0.0,15200.0,15900.0,7750.0,23900.0
9597,6990.0,201.0,0.0,0.0,6370.0,6810.0,0.0,1350.0,533.0,0.0,8560.0,8690.0,1270.0,10000.0
9598,14900.0,1480.0,0.0,0.0,18200.0,14300.0,0.0,13300.0,493.0,0.0,31300.0,33000.0,8700.0,44800.0
9599,4700.0,1160.0,0.0,0.0,8080.0,8290.0,0.0,5370.0,1450.0,0.0,17800.0,18400.0,2740.0,22300.0
9600,6110.0,288.0,0.0,0.0,7140.0,7060.0,0.0,1270.0,248.0,0.0,8910.0,9010.0,752.0,9510.0
9601,17100.0,1710.0,0.0,0.0,19000.0,15000.0,0.0,10400.0,820.0,0.0,28700.0,29500.0,9150.0,41400.0
9602,10900.0,1670.0,0.0,13600.0,14500.0,12900.0,0.0,5560.0,512.0,0.0,19900.0,22500.0,5170.0,29400.0
9603,7360.0,788.0,0.0,8800.0,10000.0,9970.0,0.0,7930.0,1530.0,0.0,18700.0,18400.0,8440.0,26600.0
9604,6250.0,501.0,0.0,7200.0,6920.0,7070.0,0.0,3580.0,375.0,0.0,11800.0,11900.0,1150.0,12800.0
